"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
15115,"2019 Mercedes-Benz GLA Class 200 Sport","₹ 21 Lakh","2019","1991 cc","Third Party insurance","Automatic","1,20,000 Kms","First Owner","Petrol","183bhp",5,"13.7 kmpl","SUV","Delhi"
15116,"2020 Maruti Vitara Brezza LXI","₹ 7.35 Lakh","2020","1462 cc","Third Party insurance","Manual","20,000 Kms","First Owner","Petrol","103.26bhp",5,"17.03 kmpl","SUV","Delhi"
15131,"2018 Maruti Swift Dzire Tour 1.2 S STD CNG","₹ 4.50 Lakh","2018","1197 cc","Third Party insurance","Manual","1,00,000 Kms","First Owner","CNG","70.40Bhp",5,"26.55 kmpl","Sedan","Delhi"
15135,"2019 Hyundai EON Sportz","₹ 3.30 Lakh","2019","814 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","55.2bhp",5,"21.1 kmpl","Hatchback","Delhi"
15143,"2019 Mahindra XUV300 W8 Option BSVI","₹ 9.50 Lakh","2019","1197 cc","Third Party insurance","Manual","1,10,000 Kms","First Owner","Petrol","108.62bhp",5,"16.82 kmpl","SUV","Delhi"
15151,"2019 Hyundai Venue SX Plus Turbo DCT BSIV","₹ 8.50 Lakh","2019","998 cc","Third Party insurance","Automatic","50,000 Kms","Second Owner","Petrol","118.35bhp",5,"18.15 kmpl","SUV","Delhi"
15155,"2019 Tata Harrier XZ BSIV","₹ 14 Lakh","2019","1956 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Diesel","138.1bhp",5,"17 kmpl","SUV","Delhi"
15157,"2018 Toyota Etios 1.5 GX","₹ 4.90 Lakh","2018","1496 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","88.73bhp",5,"16.78 kmpl","Sedan","Delhi"
15158,"2019 Maruti Ignis 1.2 Delta BSIV","₹ 5 Lakh","2019","1197 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","81.80bhp",5,"20.89 kmpl","Hatchback","Delhi"
15159,"2018 Maruti Celerio X AMT ZXI Option BSIV","₹ 4.50 Lakh","2018","998 cc","Third Party insurance","Automatic","40,000 Kms","First Owner","Petrol","67bhp",5,"21.63 kmpl","Hatchback","Delhi"
15166,"2020 Tata Tigor XZ Plus","₹ 6.50 Lakh","2020","1199 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","83.81bhp",5,"20.3 kmpl","Sedan","Delhi"
